quadrat,3,,
waypoint,1,,
grid_reference,TL6778733146,,
photo_up,P2020001,,
photo_down,P2020002,,
wetness,1,,
canopy,5,,
species,Urtica dioica,,
,Rubus fruticosus agg,,
,Galium aparine,,
,Mercurialis perennis,,
,Cirsium arvense,,
,Juncus effusus,,
,Ulmus minor agg,,
,Ranunculus ficaria,,
,Glechoma hederacea,,
,Holcus mollis,,
,Brachythecium rutabulum,,
quadrat,21,,
waypoint,2,,
grid_reference,TL6778533181,,
photo_up,P2020003,,
photo_down,P2020004,,
wetness,1,,
canopy,15,,
species,Mercurialis perennis,,
,Urtica dioica,,
,Glechoma hederacea,,
,Sambucus nigra,,
,Lychnis dioica,,
,Fraxinus excelsior,,
,Galium aparine,,
,Myosotis sylvatica,,
,Brachythecium rutabulum,,
,Poa nemoralis,,
quadrat,36,,
waypoint,3,,
grid_reference,TL6778833207,,
photo_up,P2020005,,
photo_down,P2020006,,
wetness,1,,
canopy,75,,
species,Urtica dioica,,
,Glechoma hederacea,,
,Mercurialis perennis,,
,Myosotis sylvatica,,
,Quercus robur,,
,Sambucus nigra,,
,Arum maculatum,,
,Galium aparine,,
,Ranunculus ficaria,,
,Kindbergia praelonga,,
,Brachythecium rutabulum,,
,Fissidens taxifolius,,
quadrat,39,,
waypoint,4,,
grid_reference,TL6775933207,,
photo_up,P2020007,,
photo_down,P2020008,,
wetness,1,,
canopy,70,,
species,Salix alba,,
,Urtica dioica,,
,Lychnis dioica,,
,Myosotis sylvatica,,
,Glechoma hederacea,,
,Poa nemoralis,,
,Fraxinus excelsior,,
,Galium aparine,,
,Mercurialis perennis,,
,Kindbergia praelonga,,
quadrat,24,,
waypoint,5,,
grid_reference,TL6775733169,,
photo_up,P2020009,,
photo_down,P2020010,,
wetness,1,,
canopy,75,,
species,Mercurialis perennis,,
,Galium aparine,,
,Prunus spinosa,,
,Populus x canadensis,,
,Kindbergia praelonga,,
,Rubus fruticosus agg,,
,Fraxinus excelsior,,
,Lychnis dioica,,
,Poa nemoralis,,
quadrat,6,,
waypoint,6,,
grid_reference,TL6775633148,,
photo_up,P2020011,,
photo_down,P2020012,,
wetness,1,,
canopy,15,,
species,Senecio jacobaea,,
,Galium aparine,,
,Mercurialis perennis,,
,Cirsium vulgare,,
,Urtica dioica,,
,Crataegus monogyna,,
,Dactylis glomerata,,
,Lolium perenne,,
,Rumex obtusifolius,,
,Veronica sp,,
,Holcus lanatus,,
,Epilobium sp,,
,Agrostis capillaris,,
,Poa nemoralis,,
,Kindbergia praelonga,,
,Brachythecium rutabulum,,
,Fissidens taxifolius,,
,Ulmus minor agg,,
quadrat,33,,
waypoint,7,,
grid_reference,TL6769833216,,
photo_up,P2020013,,
photo_down,P2020014,,
wetness,1,,
canopy,85,,
species,Crataegus monogyna,,
,Urtica dioica,,
,Galium aparine,,
,Mercurialis perennis,,
,Anthriscus sylvestris,,
,Ribes rubrum,,
,Rumex obtusifolius,,
,Dactylis glomerata,,
,Lapsana communis,,
,Anthriscus sylvestris,,
,Arrhenatherum elatius,,
,Poa annua,,
,Tortula marginata,,
quadrat,38,,
waypoint,8,,
grid_reference,TL6772333218,,
photo_up,P2020015,,
photo_down,P2020016,,
wetness,1,,
canopy,85,,
species,Mercurialis perennis,,
,Urtica dioica,,
,Kindbergia praelonga,,
,Tilia x europaea,,
,Poa nemoralis,,
,Fagus sylvatica,,
,Brachythecium rutabulum,,
quadrat,53,,
waypoint,9,,
grid_reference,TL6775633237,,
photo_up,P2020017,,
photo_down,P2020018,,
wetness,1,,
canopy,85,,
species,Urtica dioica,,
,Glechoma hederacea,,
,Sambucus nigra,,
,Ranunculus ficaria,,
,Arum maculatum,,
,Populus alba,,
,Mercurialis perennis,,
,Fissidens taxifolius,,
,Kindbergia praelonga,,
,Brachythecium rutabulum,,
quadrat,51,,
waypoint,10,,
grid_reference,TL6773333241,,
photo_up,P2020019,,
photo_down,P2020020,,
wetness,3,,ranged from 1-5 as by stream
canopy,65,,low hawthorn branches
species,Glechoma hederacea,,
,Urtica dioica,,
,Lychnis dioica,,
,Mercurialis perennis,,
,Poa nemoralis,,
,Galium aparine,,
,Crataegus monogyna,,
,Sambucus nigra,,
,Rumex sanguineus,,
,Ranunculus repens,,
,Mentha aquatica,,
,Ranunculus ficaria,,
,Carex acutiformis,,
,Viola odorata,,
,Caltha palustris,,
,Lamium purpureum,,
,Angelica sylvestris,,
quadrat,45,,
waypoint,11,,
grid_reference,TL6769533236,,
photo_up,P2020021,,
photo_down,P2020022,,
wetness,1,,
canopy,95,,
species,Alnus cordata,,
,Mercurialis perennis,,
,Glechoma hederacea,,
,Galium aparine,,
,Sambucus nigra,,
,Hedera helix,,
,Urtica dioica,,
,Anthriscus sylvestris,,
,Kindbergia praelonga,,
,Arum maculatum,,
,Brachythecium rutabulum,,
quadrat,1,,
waypoint,12,,
grid_reference,TL6772333271,,
photo_up,P2020023,,
photo_down,P2020024,,
wetness,1,,
canopy,10,,
species,Oenanthe crocata,,
,Carex acutiformis,,
,Galium aparine,,
,Filipendula ulmaria,,
,Lychnis dioica,,
,Rumex sanguineus,,
,Holcus lanatus,,
,Arrhenatherum elatius,,
quadrat,63,,
waypoint,13,,
grid_reference,TL6769733272,,
photo_up,P2020025,,
photo_down,P2020026,,
wetness,2,,
canopy,0,,
species,Filipendula ulmaria,,
,Cirsium palustre,,
,Carex acutiformis,,
,Holcus lanatus,,
,Mentha aquatica,,
,Lotus corniculatus,,
,Ranunculus ficaria,,
,Primula vulgaris,,
,Geranium molle,,
,Juncus inflexus,,
,Arrhenatherum elatius,,
